Identification,Condition,Healthy,Scab,Anthracnose
Avocado 0075,Scab,0,1,0
Avocado 0076,Healthy,1,0,0
Avocado 0077,Healthy,1,0,0
Avocado 0078,Anthracnose,0,0,1
Avocado 0079,Anthracnose,0,0,1
Avocado 0080,Scab,0,1,0
Avocado 0081,Healthy,1,0,0
Avocado 0082,Scab,0,1,0
Avocado 0083,Scab,0,1,0
Avocado 0084,Scab,0,1,0
Avocado 0085,Scab,0,1,0
Avocado 0086,Scab,0,1,0
Avocado 0087,Scab,0,1,0
Avocado 0088,Anthracnose,0,0,1
Avocado 0089,Scab,0,1,0
Avocado 0090,Anthracnose,0,0,1
Avocado 0091,Anthracnose,0,0,1
Avocado 0092,Anthracnose,0,0,1
Avocado 0093,Anthracnose,0,0,1
Avocado 0094,Scab,0,1,0
Avocado 0095,Scab,0,1,0
Avocado 0096,Scab,0,1,0
Avocado 0097,Scab,0,1,0
Avocado 0098,Scab,0,1,0
Avocado 0099,Scab,0,1,0
Avocado 0100,Scab,0,1,0
Avocado 0101,Scab,0,1,0
Avocado 0102,Scab,0,1,0
Avocado 0103,Scab,0,1,0
Avocado 0104,Anthracnose,0,0,1
Avocado 0105,Anthracnose,0,0,1
Avocado 0106,Scab,0,1,0
Avocado 0107,Anthracnose,0,0,1
Avocado 0108,Scab,0,1,0
Avocado 0109,Anthracnose,0,0,1
Avocado 0110,Anthracnose,0,0,1
Avocado 0111,Anthracnose,0,0,1
Avocado 0112,Anthracnose,0,0,1
Avocado 0113,Anthracnose,0,0,1
Avocado 0114,Scab,0,1,0
Avocado 0115,Anthracnose,0,0,1
Avocado 0116,Scab,0,1,0
Avocado 0117,Scab,0,1,0
Avocado 0118,Scab,0,1,0
Avocado 0119,Scab,0,1,0
Avocado 0120,Scab,0,1,0
Avocado 0121,Scab,0,1,0
Avocado 0122,Scab,0,1,0
Avocado 0123,Scab,0,1,0
Avocado 0124,Scab,0,1,0
Avocado 0125,Scab,0,1,0
Avocado 0126,Scab,0,1,0
Avocado 0127,Healthy,1,0,0
Avocado 0128,Scab,0,1,0
Avocado 0129,Scab,0,1,0
Avocado 0130,Healthy,1,0,0
Avocado 0131,Healthy,1,0,0
Avocado 0132,Healthy,1,0,0
Avocado 0133,Healthy,1,0,0
Avocado 0134,Healthy,1,0,0
Avocado 0135,Scab,0,1,0
Avocado 0136,Scab,0,1,0
Avocado 0137,Healthy,1,0,0
Avocado 0138,Healthy,1,0,0
Avocado 0139,Scab,0,1,0
Avocado 0140,Scab,0,1,0
Avocado 0141,Healthy,1,0,0
Avocado 0142,Healthy,1,0,0
Avocado 0143,Healthy,1,0,0
Avocado 0144,Scab,0,1,0
Avocado 0145,Healthy,1,0,0
Avocado 0146,Healthy,1,0,0
Avocado 0147,Scab,0,1,0
Avocado 0148,Scab,0,1,0
Avocado 0149,Scab,0,1,0
Avocado 0150,Scab,0,1,0
Avocado 0151,Scab,0,1,0
Avocado 0152,Scab,0,1,0
Avocado 0153,Healthy,1,0,0
Avocado 0154,Scab,0,1,0
Avocado 0155,Healthy,1,0,0
Avocado 0156,Healthy,1,0,0
Avocado 0157,Healthy,1,0,0
Avocado 0158,Healthy,1,0,0
Avocado 0159,Healthy,1,0,0
Avocado 0160,Healthy,1,0,0
Avocado 0161,Healthy,1,0,0
Avocado 0162,Healthy,1,0,0
Avocado 0163,Scab,0,1,0
Avocado 0164,Healthy,1,0,0
Avocado 0165,Healthy,1,0,0
Avocado 0166,Healthy,1,0,0
Avocado 0167,Healthy,1,0,0
Avocado 0168,Healthy,1,0,0
Avocado 0169,Healthy,1,0,0
Avocado 0170,Scab,0,1,0
Avocado 0171,Healthy,1,0,0
Avocado 0172,Healthy,1,0,0
Avocado 0173,Healthy,1,0,0
Avocado 0174,Healthy,1,0,0
Avocado 0175,Scab,0,1,0
Avocado 0176,Scab,0,1,0
Avocado 0177,Scab,0,1,0
Avocado 0178,Scab,0,1,0
Avocado 0179,Anthracnose,0,0,1
Avocado 0180,Scab,0,1,0
Avocado 0181,Healthy,1,0,0
Avocado 0182,Healthy,1,0,0
Avocado 0183,Healthy,1,0,0
Avocado 0184,Healthy,1,0,0
Avocado 0185,Healthy,1,0,0
Avocado 0186,Healthy,1,0,0
Avocado 0187,Healthy,1,0,0
Avocado 0188,Healthy,1,0,0
Avocado 0189,Healthy,1,0,0
Avocado 0190,Healthy,1,0,0
Avocado 0191,Healthy,1,0,0
Avocado 0192,Healthy,1,0,0
Avocado 0193,Scab,0,1,0
Avocado 0194,Healthy,1,0,0
Avocado 0195,Healthy,1,0,0
Avocado 0196,Scab,0,1,0
Avocado 0197,Healthy,1,0,0
Avocado 0198,Scab,0,1,0
Avocado 0199,Healthy,1,0,0
Avocado 0200,Healthy,1,0,0
Avocado 0201,Healthy,1,0,0
Avocado 0202,Healthy,1,0,0
Avocado 0203,Healthy,1,0,0
Avocado 0204,Healthy,1,0,0
Avocado 0205,Healthy,1,0,0
Avocado 0206,Healthy,1,0,0
Avocado 0207,Scab,0,1,0
Avocado 0208,Healthy,1,0,0
Avocado 0209,Scab,0,1,0
Avocado 0210,Healthy,1,0,0
Avocado 0211,Scab,0,1,0
Avocado 0212,Healthy,1,0,0
Avocado 0213,Scab,0,1,0
Avocado 0214,Healthy,1,0,0
Avocado 0215,Scab,0,1,0
Avocado 0216,Anthracnose,0,0,1
Avocado 0217,Healthy,1,0,0
Avocado 0218,Healthy,1,0,0
Avocado 0219,Scab,0,1,0
Avocado 0220,Scab,0,1,0
Avocado 0221,Scab,0,1,0
Avocado 0222,Scab,0,1,0
Avocado 0223,Healthy,1,0,0
Avocado 0224,Scab,0,1,0
Avocado 0225,Anthracnose,0,0,1
Avocado 0226,Anthracnose,0,0,1
Avocado 0227,Scab,0,1,0
Avocado 0228,Healthy,1,0,0
Avocado 0229,Healthy,1,0,0
Avocado 0230,Healthy,1,0,0
Avocado 0231,Healthy,1,0,0
Avocado 0232,Healthy,1,0,0
Avocado 0233,Healthy,1,0,0
Avocado 0234,Healthy,1,0,0
Avocado 0235,Healthy,1,0,0
Avocado 0236,Anthracnose,0,0,1
Avocado 0237,Scab,0,1,0
Avocado 0238,Scab,0,1,0
Avocado 0239,Scab,0,1,0
Avocado 0240,Healthy,1,0,0
Avocado 0241,Healthy,1,0,0
Avocado 0242,Healthy,1,0,0
Avocado 0243,Healthy,1,0,0
Avocado 0244,Healthy,1,0,0
Avocado 0245,Healthy,1,0,0
Avocado 0246,Anthracnose,0,0,1
Avocado 0247,Anthracnose,0,0,1
Avocado 0248,Anthracnose,0,0,1
Avocado 0249,Scab,0,1,0
Avocado 0250,Anthracnose,0,0,1
Avocado 0251,Anthracnose,0,0,1
Avocado 0252,Healthy,1,0,0
Avocado 0253,Scab,0,1,0
Avocado 0254,Healthy,1,0,0
Avocado 0255,Scab,0,1,0
Avocado 0256,Anthracnose,0,0,1
Avocado 0257,Anthracnose,0,0,1
Avocado 0258,Anthracnose,0,0,1
Avocado 0259,Anthracnose,0,0,1
Avocado 0260,Anthracnose,0,0,1
Avocado 0261,Healthy,1,0,0
Avocado 0262,Healthy,1,0,0
Avocado 0263,Scab,0,1,0
Avocado 0264,Anthracnose,0,0,1
Avocado 0265,Healthy,1,0,0
Avocado 0266,Healthy,1,0,0
Avocado 0267,Healthy,1,0,0
Avocado 0268,Healthy,1,0,0
Avocado 0269,Anthracnose,0,0,1
Avocado 0270,Scab,0,1,0
Avocado 0271,Healthy,1,0,0
Avocado 0272,Healthy,1,0,0
Avocado 0273,Healthy,1,0,0
Avocado 0274,Anthracnose,0,0,1
Avocado 0275,Healthy,1,0,0
Avocado 0276,Healthy,1,0,0
Avocado 0277,Healthy,1,0,0
Avocado 0278,Healthy,1,0,0
Avocado 0279,Healthy,1,0,0
Avocado 0280,Healthy,1,0,0
Avocado 0281,Healthy,1,0,0
Avocado 0282,Healthy,1,0,0
Avocado 0283,Scab,0,1,0
Avocado 0284,Healthy,1,0,0
Avocado 0285,Anthracnose,0,0,1
Avocado 0286,Healthy,1,0,0
Avocado 0287,Healthy,1,0,0
Avocado 0288,Healthy,1,0,0
Avocado 0289,Healthy,1,0,0
Avocado 0290,Healthy,1,0,0
Avocado 0291,Healthy,1,0,0
Avocado 0292,Healthy,1,0,0
Avocado 0293,Anthracnose,0,0,1
Avocado 0294,Healthy,1,0,0
Avocado 0295,Healthy,1,0,0
Avocado 0296,Healthy,1,0,0
Avocado 0297,Healthy,1,0,0
Avocado 0298,Healthy,1,0,0
Avocado 0299,Healthy,1,0,0
Avocado 0300,Healthy,1,0,0
Avocado 0301,Healthy,1,0,0
Avocado 0302,Healthy,1,0,0
Avocado 0303,Scab,0,1,0
Avocado 0304,Anthracnose,0,0,1
Avocado 0305,Healthy,1,0,0
Avocado 0306,Healthy,1,0,0
Avocado 0307,Healthy,1,0,0
Avocado 0308,Healthy,1,0,0
Avocado 0309,Healthy,1,0,0
Avocado 0310,Scab,0,1,0
Avocado 0311,Healthy,1,0,0
Avocado 0312,Healthy,1,0,0
Avocado 0313,Scab,0,1,0
Avocado 0314,Scab,0,1,0
Avocado 0315,Anthracnose,0,0,1
Avocado 0316,Healthy,1,0,0
Avocado 0317,Healthy,1,0,0
Avocado 0318,Healthy,1,0,0
Avocado 0319,Healthy,1,0,0
Avocado 0320,Scab,0,1,0
Avocado 0321,Healthy,1,0,0
Avocado 0322,Anthracnose,0,0,1
Avocado 0323,Scab,0,1,0
Avocado 0324,Healthy,1,0,0
Avocado 0325,Healthy,1,0,0
Avocado 0326,Healthy,1,0,0
Avocado 0327,Healthy,1,0,0
Avocado 0328,Healthy,1,0,0
Avocado 0329,Healthy,1,0,0
Avocado 0330,Healthy,1,0,0
Avocado 0331,Scab,0,1,0
Avocado 0332,Anthracnose,0,0,1
Avocado 0333,Healthy,1,0,0
Avocado 0334,Healthy,1,0,0
Avocado 0335,Anthracnose,0,0,1
Avocado 0336,Scab,0,1,0
Avocado 0337,Healthy,1,0,0
Avocado 0338,Anthracnose,0,0,1
Avocado 0339,Healthy,1,0,0
Avocado 0340,Healthy,1,0,0
Avocado 0341,Anthracnose,0,0,1
Avocado 0342,Anthracnose,0,0,1
Avocado 0343,Healthy,1,0,0
Avocado 0344,Healthy,1,0,0
Avocado 0345,Healthy,1,0,0
Avocado 0346,Healthy,1,0,0
Avocado 0347,Scab,0,1,0
Avocado 0348,Scab,0,1,0
Avocado 0349,Scab,0,1,0
Avocado 0350,Scab,0,1,0
Avocado 0351,Scab,0,1,0
Avocado 0352,Scab,0,1,0
Avocado 0353,Healthy,1,0,0
Avocado 0354,Healthy,1,0,0
Avocado 0355,Anthracnose,0,0,1
Avocado 0356,Anthracnose,0,0,1
Avocado 0357,Anthracnose,0,0,1
Avocado 0358,Anthracnose,0,0,1
Avocado 0359,Healthy,1,0,0
Avocado 0360,Healthy,1,0,0
Avocado 0361,Anthracnose,0,0,1
Avocado 0362,Anthracnose,0,0,1
Avocado 0363,Healthy,1,0,0
Avocado 0364,Healthy,1,0,0
Avocado 0365,Healthy,1,0,0
Avocado 0366,Healthy,1,0,0
Avocado 0367,Healthy,1,0,0
Avocado 0368,Healthy,1,0,0
Avocado 0369,Healthy,1,0,0
Avocado 0370,Healthy,1,0,0
Avocado 0371,Healthy,1,0,0
Avocado 0372,Anthracnose,0,0,1
Avocado 0373,Healthy,1,0,0
Avocado 0374,Healthy,1,0,0
Avocado 0375,Anthracnose,0,0,1
Avocado 0376,Healthy,1,0,0
Avocado 0377,Healthy,1,0,0
Avocado 0378,Scab,0,1,0
Avocado 0379,Healthy,1,0,0
Avocado 0380,Healthy,1,0,0
Avocado 0381,Anthracnose,0,0,1
Avocado 0382,Anthracnose,0,0,1
Avocado 0383,Anthracnose,0,0,1
Avocado 0384,Anthracnose,0,0,1
Avocado 0385,Anthracnose,0,0,1
Avocado 0386,Scab,0,1,0
Avocado 0387,Scab,0,1,0
Avocado 0388,Scab,0,1,0
Avocado 0389,Healthy,1,0,0
Avocado 0390,Healthy,1,0,0
Avocado 0391,Anthracnose,0,0,1
Avocado 0392,Scab,0,1,0
Avocado 0393,Healthy,1,0,0
Avocado 0394,Anthracnose,0,0,1
Avocado 0395,Healthy,1,0,0
Avocado 0396,Anthracnose,0,0,1
Avocado 0397,Anthracnose,0,0,1
Avocado 0398,Scab,0,1,0
Avocado 0399,Scab,0,1,0
Avocado 0400,Healthy,1,0,0
Avocado 0401,Anthracnose,0,0,1
Avocado 0402,Anthracnose,0,0,1
Avocado 0403,Healthy,1,0,0
Avocado 0404,Healthy,1,0,0
Avocado 0405,Scab,0,1,0
Avocado 0406,Scab,0,1,0
Avocado 0407,Healthy,1,0,0
Avocado 0408,Anthracnose,0,0,1
Avocado 0409,Healthy,1,0,0
Avocado 0410,Healthy,1,0,0
Avocado 0411,Anthracnose,0,0,1
Avocado 0412,Healthy,1,0,0
Avocado 0413,Healthy,1,0,0
Avocado 0414,Scab,0,1,0
Avocado 0415,Anthracnose,0,0,1
Avocado 0416,Healthy,1,0,0
Avocado 0417,Healthy,1,0,0
Avocado 0418,Anthracnose,0,0,1
Avocado 0419,Anthracnose,0,0,1
Avocado 0420,Anthracnose,0,0,1
Avocado 0421,Scab,0,1,0
Avocado 0422,Anthracnose,0,0,1
Avocado 0423,Healthy,1,0,0
Avocado 0424,Healthy,1,0,0
Avocado 0425,Healthy,1,0,0
Avocado 0426,Healthy,1,0,0
Avocado 0427,Healthy,1,0,0
Avocado 0428,Healthy,1,0,0
Avocado 0429,Healthy,1,0,0
Avocado 0430,Healthy,1,0,0
Avocado 0431,Healthy,1,0,0
Avocado 0432,Scab,0,1,0
Avocado 0433,Scab,0,1,0
Avocado 0434,Anthracnose,0,0,1
Avocado 0435,Anthracnose,0,0,1
Avocado 0436,Healthy,1,0,0
Avocado 0437,Healthy,1,0,0
Avocado 0438,Healthy,1,0,0
Avocado 0439,Healthy,1,0,0
Avocado 0440,Healthy,1,0,0
Avocado 0441,Healthy,1,0,0
Avocado 0442,Healthy,1,0,0
Avocado 0443,Healthy,1,0,0
Avocado 0444,Scab,0,1,0
Avocado 0445,Scab,0,1,0
Avocado 0446,Anthracnose,0,0,1
Avocado 0447,Healthy,1,0,0
Avocado 0448,Healthy,1,0,0
Avocado 0449,Anthracnose,0,0,1
Avocado 0450,Anthracnose,0,0,1
Avocado 0451,Anthracnose,0,0,1
Avocado 0452,Healthy,1,0,0
Avocado 0453,Healthy,1,0,0
Avocado 0454,Anthracnose,0,0,1
Avocado 0455,Anthracnose,0,0,1
Avocado 0456,Healthy,1,0,0
Avocado 0457,Scab,0,1,0
Avocado 0458,Scab,0,1,0
Avocado 0459,Healthy,1,0,0
Avocado 0460,Healthy,1,0,0
Avocado 0461,Healthy,1,0,0
Avocado 0462,Healthy,1,0,0
Avocado 0463,Healthy,1,0,0
Avocado 0464,Healthy,1,0,0
Avocado 0465,Anthracnose,0,0,1
Avocado 0466,Anthracnose,0,0,1
Avocado 0467,Healthy,1,0,0
Avocado 0468,Healthy,1,0,0
Avocado 0469,Anthracnose,0,0,1
Avocado 0470,Anthracnose,0,0,1
Avocado 0471,Anthracnose,0,0,1
Avocado 0472,Anthracnose,0,0,1
Avocado 0473,Anthracnose,0,0,1
Avocado 0474,Anthracnose,0,0,1
Avocado 0475,Anthracnose,0,0,1
Avocado 0476,Scab,0,1,0
Avocado 0477,Healthy,1,0,0
Avocado 0478,Healthy,1,0,0
Avocado 0479,Anthracnose,0,0,1
Avocado 0480,Scab,0,1,0
Avocado 0481,Scab,0,1,0
Avocado 0482,Anthracnose,0,0,1
Avocado 0483,Anthracnose,0,0,1
Avocado 0484,Anthracnose,0,0,1
Avocado 0485,Healthy,1,0,0
Avocado 0486,Healthy,1,0,0
Avocado 0487,Healthy,1,0,0
Avocado 0488,Healthy,1,0,0
Avocado 0489,Healthy,1,0,0
Avocado 0490,Anthracnose,0,0,1
Avocado 0491,Anthracnose,0,0,1
Avocado 0492,Anthracnose,0,0,1
Avocado 0493,Scab,0,1,0
Avocado 0494,Healthy,1,0,0
Avocado 0495,Healthy,1,0,0
Avocado 0496,Anthracnose,0,0,1
Avocado 0497,Healthy,1,0,0
Avocado 0498,Healthy,1,0,0
Avocado 0499,Scab,0,1,0
Avocado 0500,Anthracnose,0,0,1
Avocado 0501,Anthracnose,0,0,1
Avocado 0502,Anthracnose,0,0,1
Avocado 0503,Anthracnose,0,0,1
Avocado 0504,Anthracnose,0,0,1
Avocado 0505,Anthracnose,0,0,1
Avocado 0506,Healthy,1,0,0
Avocado 0507,Healthy,1,0,0
Avocado 0508,Anthracnose,0,0,1
Avocado 0509,Anthracnose,0,0,1
Avocado 0510,Healthy,1,0,0
Avocado 0511,Anthracnose,0,0,1
Avocado 0512,Healthy,1,0,0
Avocado 0513,Healthy,1,0,0
Avocado 0514,Healthy,1,0,0
Avocado 0515,Healthy,1,0,0
Avocado 0516,Anthracnose,0,0,1
Avocado 0517,Anthracnose,0,0,1
Avocado 0518,Healthy,1,0,0
Avocado 0519,Healthy,1,0,0
Avocado 0520,Healthy,1,0,0
Avocado 0521,Healthy,1,0,0
Avocado 0522,Healthy,1,0,0
Avocado 0523,Anthracnose,0,0,1
Avocado 0524,Anthracnose,0,0,1
Avocado 0525,Anthracnose,0,0,1
Avocado 0526,Scab,0,1,0
Avocado 0527,Scab,0,1,0
Avocado 0528,Scab,0,1,0
Avocado 0529,Healthy,1,0,0
Avocado 0530,Healthy,1,0,0
Avocado 0531,Healthy,1,0,0
Avocado 0532,Scab,0,1,0
Avocado 0533,Scab,0,1,0
Avocado 0534,Scab,0,1,0
Avocado 0535,Scab,0,1,0
Avocado 0536,Anthracnose,0,0,1
Avocado 0537,Anthracnose,0,0,1
Avocado 0538,Anthracnose,0,0,1
Avocado 0539,Anthracnose,0,0,1
Avocado 0540,Healthy,1,0,0
Avocado 0541,Healthy,1,0,0
Avocado 0542,Healthy,1,0,0
Avocado 0543,Healthy,1,0,0
Avocado 0544,Scab,0,1,0
Avocado 0545,Anthracnose,0,0,1
Avocado 0546,Anthracnose,0,0,1
Avocado 0547,Anthracnose,0,0,1
Avocado 0548,Healthy,1,0,0
Avocado 0549,Healthy,1,0,0
Avocado 0550,Anthracnose,0,0,1
Avocado 0551,Healthy,1,0,0
Avocado 0552,Anthracnose,0,0,1
Avocado 0553,Anthracnose,0,0,1
Avocado 0554,Healthy,1,0,0
Avocado 0555,Healthy,1,0,0
Avocado 0556,Healthy,1,0,0
Avocado 0557,Anthracnose,0,0,1
Avocado 0558,Anthracnose,0,0,1
Avocado 0559,Anthracnose,0,0,1
Avocado 0560,Healthy,1,0,0
Avocado 0561,Anthracnose,0,0,1
Avocado 0562,Healthy,1,0,0
Avocado 0563,Healthy,1,0,0
Avocado 0564,Healthy,1,0,0
Avocado 0565,Healthy,1,0,0
Avocado 0566,Scab,0,1,0
Avocado 0567,Healthy,1,0,0
Avocado 0568,Scab,0,1,0
Avocado 0569,Anthracnose,0,0,1
Avocado 0570,Scab,0,1,0
Avocado 0571,Scab,0,1,0
Avocado 0572,Healthy,1,0,0
Avocado 0573,Scab,0,1,0
Avocado 0574,Anthracnose,0,0,1
Avocado 0575,Anthracnose,0,0,1
Avocado 0576,Scab,0,1,0
Avocado 0577,Scab,0,1,0
Avocado 0578,Scab,0,1,0
Avocado 0579,Scab,0,1,0
Avocado 0580,Scab,0,1,0
Avocado 0581,Anthracnose,0,0,1
Avocado 0582,Anthracnose,0,0,1
Avocado 0583,Anthracnose,0,0,1
Avocado 0584,Anthracnose,0,0,1
Avocado 0585,Anthracnose,0,0,1
Avocado 0586,Anthracnose,0,0,1
Avocado 0587,Anthracnose,0,0,1
Avocado 0588,Scab,0,1,0
Avocado 0589,Scab,0,1,0
Avocado 0590,Scab,0,1,0
Avocado 0591,Scab,0,1,0
Avocado 0592,Scab,0,1,0
Avocado 0593,Scab,0,1,0
Avocado 0594,Scab,0,1,0
Avocado 0595,Scab,0,1,0
Avocado 0596,Scab,0,1,0
Avocado 0597,Scab,0,1,0
Avocado 0598,Scab,0,1,0
Avocado 0599,Scab,0,1,0
Avocado 0600,Scab,0,1,0
Avocado 0601,Scab,0,1,0
Avocado 0602,Scab,0,1,0
Avocado 0603,Scab,0,1,0
Avocado 0604,Scab,0,1,0
Avocado 0605,Anthracnose,0,0,1
Avocado 0606,Scab,0,1,0
Avocado 0607,Healthy,1,0,0
Avocado 0608,Scab,0,1,0
Avocado 0609,Scab,0,1,0
Avocado 0610,Scab,0,1,0
Avocado 0611,Anthracnose,0,0,1
Avocado 0612,Anthracnose,0,0,1
Avocado 0613,Anthracnose,0,0,1
Avocado 0614,Anthracnose,0,0,1
Avocado 0615,Anthracnose,0,0,1
Avocado 0616,Anthracnose,0,0,1
Avocado 0617,Anthracnose,0,0,1
Avocado 0618,Scab,0,1,0
Avocado 0619,Scab,0,1,0
Avocado 0620,Scab,0,1,0
Avocado 0621,Scab,0,1,0
Avocado 0622,Scab,0,1,0
Avocado 0623,Scab,0,1,0
Avocado 0624,Scab,0,1,0
Avocado 0625,Scab,0,1,0
Avocado 0626,Scab,0,1,0
Avocado 0627,Scab,0,1,0
Avocado 0628,Scab,0,1,0
Avocado 0629,Anthracnose,0,0,1
Avocado 0630,Anthracnose,0,0,1
Avocado 0631,Scab,0,1,0
Avocado 0632,Scab,0,1,0
Avocado 0633,Scab,0,1,0
Avocado 0634,Scab,0,1,0
Avocado 0635,Anthracnose,0,0,1
Avocado 0636,Scab,0,1,0
Avocado 0637,Healthy,1,0,0
Avocado 0638,Scab,0,1,0
Avocado 0639,Healthy,1,0,0
Avocado 0640,Scab,0,1,0
Avocado 0641,Anthracnose,0,0,1
Avocado 0642,Anthracnose,0,0,1
Avocado 0643,Scab,0,1,0
Avocado 0644,Scab,0,1,0
Avocado 0645,Healthy,1,0,0
Avocado 0646,Healthy,1,0,0
Avocado 0647,Anthracnose,0,0,1
Avocado 0648,Anthracnose,0,0,1
Avocado 0649,Scab,0,1,0
Avocado 0650,Healthy,1,0,0
Avocado 0651,Scab,0,1,0
Avocado 0652,Scab,0,1,0
Avocado 0653,Scab,0,1,0
Avocado 0654,Scab,0,1,0
Avocado 0655,Scab,0,1,0
Avocado 0656,Scab,0,1,0
Avocado 0657,Anthracnose,0,0,1
Avocado 0658,Scab,0,1,0
Avocado 0659,Anthracnose,0,0,1
Avocado 0660,Anthracnose,0,0,1
Avocado 0661,Anthracnose,0,0,1
Avocado 0662,Anthracnose,0,0,1
Avocado 0663,Scab,0,1,0
Avocado 0664,Scab,0,1,0
Avocado 0665,Scab,0,1,0
Avocado 0666,Scab,0,1,0
Avocado 0667,Scab,0,1,0
Avocado 0668,Scab,0,1,0
Avocado 0669,Scab,0,1,0
Avocado 0670,Scab,0,1,0
Avocado 0671,Scab,0,1,0
Avocado 0672,Scab,0,1,0
Avocado 0673,Anthracnose,0,0,1
Avocado 0674,Anthracnose,0,0,1
Avocado 0675,Scab,0,1,0
Avocado 0676,Anthracnose,0,0,1
Avocado 0677,Scab,0,1,0
Avocado 0678,Anthracnose,0,0,1
Avocado 0679,Anthracnose,0,0,1
Avocado 0680,Anthracnose,0,0,1
Avocado 0681,Anthracnose,0,0,1
Avocado 0682,Anthracnose,0,0,1
Avocado 0683,Scab,0,1,0
Avocado 0684,Anthracnose,0,0,1
Avocado 0685,Scab,0,1,0
Avocado 0686,Scab,0,1,0
Avocado 0687,Scab,0,1,0
Avocado 0688,Scab,0,1,0
Avocado 0689,Scab,0,1,0
Avocado 0690,Scab,0,1,0
Avocado 0691,Scab,0,1,0
Avocado 0692,Scab,0,1,0
Avocado 0693,Scab,0,1,0
Avocado 0694,Scab,0,1,0
Avocado 0695,Scab,0,1,0
Avocado 0696,Healthy,1,0,0
Avocado 0697,Scab,0,1,0
Avocado 0698,Scab,0,1,0
Avocado 0699,Healthy,1,0,0
Avocado 0700,Healthy,1,0,0
Avocado 0701,Healthy,1,0,0
Avocado 0702,Healthy,1,0,0
Avocado 0703,Healthy,1,0,0
Avocado 0704,Scab,0,1,0
Avocado 0705,Scab,0,1,0
Avocado 0706,Healthy,1,0,0
Avocado 0707,Healthy,1,0,0
Avocado 0708,Scab,0,1,0
Avocado 0709,Scab,0,1,0
Avocado 0710,Healthy,1,0,0
Avocado 0711,Healthy,1,0,0
Avocado 0712,Healthy,1,0,0
Avocado 0713,Scab,0,1,0
Avocado 0714,Healthy,1,0,0
Avocado 0715,Healthy,1,0,0
Avocado 0716,Scab,0,1,0
Avocado 0717,Scab,0,1,0
Avocado 0718,Scab,0,1,0
Avocado 0719,Scab,0,1,0
Avocado 0720,Scab,0,1,0
Avocado 0721,Scab,0,1,0
Avocado 0722,Healthy,1,0,0
Avocado 0723,Scab,0,1,0
Avocado 0724,Healthy,1,0,0
Avocado 0725,Healthy,1,0,0
Avocado 0726,Healthy,1,0,0
Avocado 0727,Healthy,1,0,0
Avocado 0728,Healthy,1,0,0
